id_avis,date,source,produit,texte,texte_clean,texte_final,sentiment,note,langue
AV0001,2026-02-27,mobile,Ordinateur NovaBook,"Très  bonne  expérience,  simple  et  efficace.","très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,4,fr
AV0002,2026-01-09,web,SmartPhone X,Très satisfait de mon achat 👍 #avis,très satisfait de mon achat 👍 avis,très satisfait achat avis,positif,4,fr
AV0003,2026-07-03,réseaux_sociaux,Écouteurs AirSound,"Produit  parfait,  rien  à  signaler.","produit parfait, rien à signaler.",produit parfait rien signaler,positif,4,fr
AV0004,2026-06-28,sav,SmartWatch Pro,"Produit excellent, je suis très satisfait. !!!","produit excellent, je suis très satisfait. !",produit excellent très satisfait,positif,5,fr
AV0005,2026-01-24,sav,SmartPhone X,LA BATTERIE TIENT VRAIMENT BIEN ET L'ÉCRAN EST SUPERBE.,la batterie tient vraiment bien et l'écran est superbe.,batterie tenir vraiment bien superbe,positif,5,fr
AV0006,2026-07-26,web,Ordinateur NovaBook,Très satisfait de mon achat 👍 😊,très satisfait de mon achat 👍 😊,très satisfait achat,positif,5,fr
AV0007,2026-05-22,email,Ordinateur NovaBook,SERVICE CLIENT RÉACTIF ET COMMANDE REÇUE RAPIDEMENT.,service client réactif et commande reçue rapidement.,service client réactif commande reçu rapidement,positif,4,fr
AV0008,2026-06-30,web,SmartPhone X,Très  satisfait  de  mon  achat  👍,très satisfait de mon achat 👍,très satisfait achat,positif,5,fr
AV0009,2026-08-10,web,Écouteurs AirSound,Le  produit  correspond  globalement  à  la  description.,le produit correspond globalement à la description.,produit correspondre globalement description,neutre,3,fr
AV0010,2026-04-01,mobile,Ordinateur NovaBook,@client Livraison rapide et produit conforme à mes attentes.,livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,5,fr
AV0011,2026-05-17,mobile,SmartPhone Y,Très satisfait de mon achat 👍 !!!,très satisfait de mon achat 👍 !,très satisfait achat,positif,4,fr
AV0013,2026-03-10,web,SmartPhone Y,La batterie tient vraiment bien et l'écran est superbe. #avis,la batterie tient vraiment bien et l'écran est superbe. avis,batterie tenir vraiment bien superbe avis,positif,4,fr
AV0014,2026-06-17,sav,Écouteurs AirSound,"Mauvaise  expérience,  je  ne  recommande  pas.","mauvaise expérience, je ne recommande pas.",mauvais expérience ne recommander pas,negatif,2,fr
AV0015,2026-03-09,mobile,SmartPhone Y,Qualité décevante pour ce prix. !!!,qualité décevante pour ce prix. !,qualité décevant prix,negatif,2,fr
AV0016,2026-08-18,réseaux_sociaux,Écouteurs AirSound,Produit correct pour son prix. #avis,produit correct pour son prix. avis,produit correct prix avis,neutre,4,fr
AV0017,2026-01-24,web,SmartPhone X,"Produit parfait, rien à signaler. https://example.com/commande/17","produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0019,2026-08-09,web,Ordinateur NovaBook,Le produit ne fonctionne déjà plus.,le produit ne fonctionne déjà plus.,produit ne fonctionner déjà plus,negatif,2,fr
AV0020,2026-07-16,email,SmartPhone X,"Je viens de recevoir le produit, à voir dans le temps. 😊","je viens de recevoir le produit, à voir dans le temps. 😊",venir recevoir produit voir temps,neutre,4,fr
AV0021,2026-07-04,email,Tablette TabPlus,Excellent rapport qualité-prix.,excellent rapport qualité-prix.,excellent rapport,positif,5,fr
AV0022,2026-08-04,réseaux_sociaux,Tablette TabPlus,Le produit correspond globalement à la description. 😊,le produit correspond globalement à la description. 😊,produit correspondre globalement description,neutre,4,fr
AV0023,2026-07-19,réseaux_sociaux,SmartPhone X,Livraison rapide et produit conforme à mes attentes.,livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,5,fr
AV0024,2026-08-26,email,SmartWatch Pro,"PRODUIT EXCELLENT, JE SUIS TRÈS SATISFAIT.","produit excellent, je suis très satisfait.",produit excellent très satisfait,positif,5,fr
